gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff	cluster
ORF-1	E	12h	12	C6	C6_12h	0.00343913713520729			cluster_1
ORF-1	E	1h	1	C6	C6_1h	0			cluster_1
ORF-1	E	2h	2	C6	C6_2h	0			cluster_1
ORF-1	E	4h	4	C6	C6_4h	0.00796019900665952			cluster_1
ORF-1	E	6h	6	C6	C6_6h	0.00666666666633633			cluster_1
ORF-1	E	8h	8	C6	C6_8h	0.0031647358002867			cluster_1
ORF-1	E	1h	1	NRK	NRK_1h	0			cluster_1
ORF-1	E	2h	2	NRK	NRK_2h	0			cluster_1
ORF-1	E	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_1
ORF-1	E	1.5h	1.5	PC_12	PC_12_1.5h	0			cluster_1
ORF-1	E	12h	12	PC_12	PC_12_12h	0.00391633763720505			cluster_1
ORF-1	E	1h	1	PC_12	PC_12_1h	0			cluster_1
ORF-1	E	2.5h	2.5	PC_12	PC_12_2.5h	0.0042432814708664			cluster_1
ORF-1	E	2h	2	PC_12	PC_12_2h	0.00266311584502633			cluster_1
ORF-1	E	4h	4	PC_12	PC_12_4h	0.00880559945983705			cluster_1
ORF-1	E	6h	6	PC_12	PC_12_6h	0.00774313442244531			cluster_1
ORF-1	E	8h	8	PC_12	PC_12_8h	0.00649172030649174			cluster_1
ORF-1	E	12h	12	PK_15	PK_15_12h	0.00208225889551992			cluster_1
ORF-1	E	1h	1	PK_15	PK_15_1h	0			cluster_1
ORF-1	E	2h	2	PK_15	PK_15_2h	0.00214132762419016			cluster_1
ORF-1	E	4h	4	PK_15	PK_15_4h	0.00159201099868077			cluster_1
ORF-1	E	6h	6	PK_15	PK_15_6h	0.00185551707015472			cluster_1
ORF-1	E	8h	8	PK_15	PK_15_8h	0.00237379444682096			cluster_1
UL54	E	12h	12	C6	C6_12h	0.00126964560916242			cluster_2
UL54	E	1h	1	C6	C6_1h	0.0228571428567402			cluster_2
UL54	E	2h	2	C6	C6_2h	0.00522193211489351			cluster_2
UL54	E	4h	4	C6	C6_4h	0.00597014925404787			cluster_2
UL54	E	6h	6	C6	C6_6h	0.00769230769329872			cluster_2
UL54	E	8h	8	C6	C6_8h	0.00276914382437561			cluster_2
UL54	E	1h	1	NRK	NRK_1h	0			cluster_2
UL54	E	2h	2	NRK	NRK_2h	0.0115606936407616			cluster_2
UL54	E	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_2
UL54	E	1.5h	1.5	PC_12	PC_12_1.5h	0.0429184549358554			cluster_2
