gene	Kinetic_class	hpi	Time	cell_line	group	seqnames	strand	norm_base	sample	read_count	mean	sd	varcoeff	libtype	sample_name	norm.method	cluster
ORF-1	E	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	+	451612.903224	PC_12_0.5h	0	0			dcDNA	PC_12_0.5h	viral_read.count	cluster_1
ORF-1	E	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	+	515486.725677	PC_12_1.5h	0	0			dcDNA	PC_12_1.5h	viral_read.count	cluster_1
ORF-1	E	12h	12	C6	C6_12h	LT934125.1	+	567351.334736	C6_12h	0.00343913713520729	0.00343913713520729			dcDNA	C6_12h	viral_read.count	cluster_1
ORF-1	E	12h	12	PC_12	PC_12_12h	LT934125.1	+	639628.140639	PC_12_12h	0.00391633763720505	0.00391633763720505			dcDNA	PC_12_12h	viral_read.count	cluster_1
ORF-1	E	12h	12	PK_15	PK_15_12h	LT934125.1	+	709931.350122	PK_15_12h	0.00208225889551992	0.00208225889551992			dcDNA	PK_15_12h	viral_read.count	cluster_1
ORF-1	E	1h	1	C6	C6_1h	LT934125.1	+	539291.217247	C6_1h	0	0			dcDNA	C6_1h	viral_read.count	cluster_1
ORF-1	E	1h	1	NRK	NRK_1h	LT934125.1	+	575757.575757	NRK_1h	0	0			dcDNA	NRK_1h	viral_read.count	cluster_1
ORF-1	E	1h	1	PC_12	PC_12_1h	LT934125.1	+	443207.126941	PC_12_1h	0	0			dcDNA	PC_12_1h	viral_read.count	cluster_1
ORF-1	E	1h	1	PK_15	PK_15_1h	LT934125.1	+	134502.923971	PK_15_1h	0	0			dcDNA	PK_15_1h	viral_read.count	cluster_1
ORF-1	E	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	+	523316.062167	PC_12_2.5h	0.0042432814708664	0.0042432814708664			dcDNA	PC_12_2.5h	viral_read.count	cluster_1
ORF-1	E	2h	2	C6	C6_2h	LT934125.1	+	474597.273858	C6_2h	0	0			dcDNA	C6_2h	viral_read.count	cluster_1
ORF-1	E	2h	2	NRK	NRK_2h	LT934125.1	+	559870.55017	NRK_2h	0	0			dcDNA	NRK_2h	viral_read.count	cluster_1
ORF-1	E	2h	2	PC_12	PC_12_2h	LT934125.1	+	501000.667129	PC_12_2h	0.00266311584502633	0.00266311584502633			dcDNA	PC_12_2h	viral_read.count	cluster_1
ORF-1	E	2h	2	PK_15	PK_15_2h	LT934125.1	+	507241.129629	PK_15_2h	0.00214132762419016	0.00214132762419016			dcDNA	PK_15_2h	viral_read.count	cluster_1
ORF-1	E	4h	4	C6	C6_4h	LT934125.1	+	528113.505012	C6_4h	0.00796019900665952	0.00796019900665952			dcDNA	C6_4h	viral_read.count	cluster_1
ORF-1	E	4h	4	PC_12	PC_12_4h	LT934125.1	+	444589.439919	PC_12_4h	0.00880559945983705	0.00880559945983705			dcDNA	PC_12_4h	viral_read.count	cluster_1
ORF-1	E	4h	4	PK_15	PK_15_4h	LT934125.1	+	560972.639473	PK_15_4h	0.00159201099868077	0.00159201099868077			dcDNA	PK_15_4h	viral_read.count	cluster_1
ORF-1	E	6h	6	C6	C6_6h	LT934125.1	+	504527.813725	C6_6h	0.00666666666633633	0.00666666666633633			dcDNA	C6_6h	viral_read.count	cluster_1
ORF-1	E	6h	6	PC_12	PC_12_6h	LT934125.1	+	516283.780172	PC_12_6h	0.00774313442244531	0.00774313442244531			dcDNA	PC_12_6h	viral_read.count	cluster_1
ORF-1	E	6h	6	PK_15	PK_15_6h	LT934125.1	+	586746.667283	PK_15_6h	0.00185551707015472	0.00185551707015472			dcDNA	PK_15_6h	viral_read.count	cluster_1
ORF-1	E	8h	8	C6	C6_8h	LT934125.1	+	571267.150906	C6_8h	0.0031647358002867	0.0031647358002867			dcDNA	C6_8h	viral_read.count	cluster_1
ORF-1	E	8h	8	PC_12	PC_12_8h	LT934125.1	+	580883.292866	PC_12_8h	0.00649172030649174	0.00649172030649174			dcDNA	PC_12_8h	viral_read.count	cluster_1
ORF-1	E	8h	8	PK_15	PK_15_8h	LT934125.1	+	617121.127721	PK_15_8h	0.00237379444682096	0.00237379444682096			dcDNA	PK_15_8h	viral_read.count	cluster_1
UL54	E	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	-	451612.903224	PC_12_0.5h	0	0			dcDNA	PC_12_0.5h	viral_read.count	cluster_2
UL54	E	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	-	515486.725677	PC_12_1.5h	0.0429184549358554	0.0429184549358554			dcDNA	PC_12_1.5h	viral_read.count	cluster_2
UL54	E	12h	12	C6	C6_12h	LT934125.1	-	567351.334736	C6_12h	0.00126964560916242	0.00126964560916242			dcDNA	C6_12h	viral_read.count	cluster_2
UL54	E	12h	12	PC_12	PC_12_12h	LT934125.1	-	639628.140639	PC_12_12h	0.000512218545720475	0.000512218545720475			dcDNA	PC_12_12h	viral_read.count	cluster_2
UL54	E	12h	12	PK_15	PK_15_12h	LT934125.1	-	709931.350122	PK_15_12h	0.0001450489937968	0.0001450489937968			dcDNA	PK_15_12h	viral_read.count	cluster_2
UL54	E	1h	1	C6	C6_1h	LT934125.1	-	539291.217247	C6_1h	0.0228571428567402	0.0228571428567402			dcDNA	C6_1h	viral_read.count	cluster_2
UL54	E	1h	1	NRK	NRK_1h	LT934125.1	-	575757.575757	NRK_1h	0	0			dcDNA	NRK_1h	viral_read.count	cluster_2
