seqnames	cmp_ref	class_code	N
LT934125.1	IE180_2	=	26
LT934125.1	NOIR-1M	=	153
LT934125.1	ORF-1	=	144
LT934125.1	UL11	=	270
LT934125.1	UL12-11	=	122
LT934125.1	UL13-12-11	=	43
LT934125.1	UL14-13-12-11	=	74
LT934125.1	UL16	=	136
LT934125.1	UL18	=	197
LT934125.1	UL19	=	103
LT934125.1	UL19-18	=	71
LT934125.1	UL20-19	=	33
LT934125.1	UL22	=	95
LT934125.1	UL23	=	205
LT934125.1	UL23-22	=	40
LT934125.1	UL30	=	21
LT934125.1	UL33	=	9
LT934125.1	UL33-34-35	=	22
LT934125.1	UL34-35	=	185
LT934125.1	UL35	=	266
LT934125.1	UL38	=	231
LT934125.1	UL38-39-40	=	55
LT934125.1	UL39-40	=	87
LT934125.1	UL4	=	123
LT934125.1	UL40	=	170
LT934125.1	UL42	=	240
LT934125.1	UL42-43-44	=	65
LT934125.1	UL43	=	201
LT934125.1	UL43-44	=	93
LT934125.1	UL44	=	202
LT934125.1	UL46	=	216
LT934125.1	UL47-46	=	91
LT934125.1	UL48-47-46	=	43
LT934125.1	UL49	=	308
LT934125.1	UL49.5-49	=	62
LT934125.1	UL49.5-49-48-47-46	=	6
LT934125.1	UL5	=	19
LT934125.1	UL5-4	=	48
LT934125.1	UL51	=	122
LT934125.1	UL51-50-49.5-49	=	46
LT934125.1	UL8	=	77
LT934125.1	UL9L-8	=	13
LT934125.1	US2	=	234
LT934125.1	US3-4	=	68
LT934125.1	US4	=	247
LT934125.1	US4-6-7	=	36
LT934125.1	US6	=	4
LT934125.1	US6-7	=	83
LT934125.1	US6-7-8-9-2	=	16
LT934125.1	US7	=	177
LT934125.1	US7-8-9	=	37
LT934125.1	US7-8-9-2	=	48
LT934125.1	US8-9	=	152
LT934125.1	US8-9-2	=	103
LT934125.1	US9	=	173
LT934125.1	US9-2	=	157
LT934125.1	CTO-S	=	368
LT934125.1	EP0-sp1	o	973
LT934125.1	EP0-sp1	m	2413
LT934125.1	NOIR_2-1M-2	=	150
LT934125.1	UL1-2-3-3.5	=	133
LT934125.1	UL10	=	210
LT934125.1	UL2-3-3.5	=	116
LT934125.1	UL21	=	132
LT934125.1	UL24-25-26-26.5	=	36
LT934125.1	UL25-26-26.5	=	95
LT934125.1	UL26-26.5	=	176
LT934125.1	UL27	=	167
LT934125.1	UL28L-27	=	1
LT934125.1	UL29	=	82
LT934125.1	UL3-3.5	=	104
LT934125.1	UL3.5	=	268
LT934125.1	UL31	=	251
LT934125.1	UL32-31	=	21
LT934125.1	UL36-UL36.5	=	11
LT934125.1	UL36.5	=	79
LT934125.1	UL37	=	108
LT934125.1	UL37-36	=	4
LT934125.1	UL41	=	52
LT934125.1	UL50	=	144
LT934125.1	UL52-53-54	=	6
LT934125.1	UL53-54	=	63
LT934125.1	UL54	=	127
LT934125.1	UL6-7	=	68
LT934125.1	UL7	=	137
LT934125.1	UL17-16	=	33
LT934125.1	US1-splice	j	6829
LT934125.1	US1-splice	m	509
LT934125.1	UL2	=	11
LT934125.1	US1_2-splice	o	10171
LT934125.1	US1_2-splice	j	6450
LT934125.1	US1_2-splice	m	529
LT934125.1	US1_2-splice	n	522
LT934125.1	UL20	=	2
LT934125.1	US1-splice	o	9683
LT934125.1	IE180	=	24
LT934125.1	UL15-splice	=	46
LT934125.1	AZURE-M	=	22
LT934125.1	UL15-splice	m	30
LT934125.1	UL28	=	1
LT934125.1	EP0-sp1	n	30
LT934125.1	UL15-splice	o	187
LT934125.1	UL29-28-27	=	2
LT934125.1	UL3	=	7
LT934125.1	US1-splice	n	597
LT934125.1	UL18-17-16	=	8
LT934125.1	EP0-sp1	=	7
LT934125.1	NOIR-1M	3`-short	819
LT934125.1	ORF-1	3`-short	292
LT934125.1	UL11	3`-short	1477
LT934125.1	UL12-11	3`-short	447
LT934125.1	UL14-13-12-11	3`-short	347
LT934125.1	UL16	3`-short	2430
LT934125.1	UL18	3`-long	39
LT934125.1	UL18	3`-short	2839
LT934125.1	UL19	3`-long	11
LT934125.1	UL19	3`-short	756
LT934125.1	UL19-18	3`-short	57
LT934125.1	UL22	3`-short	244
LT934125.1	UL23	3`-short	1259
LT934125.1	UL23-22	3`-short	13
LT934125.1	UL34-35	3`-short	1240
LT934125.1	UL34-35	3`-long	7
LT934125.1	UL35	3`-short	1147
LT934125.1	UL38	3`-long	117
LT934125.1	UL38	3`-short	1971
LT934125.1	UL4	3`-short	516
LT934125.1	UL40	3`-short	1116
LT934125.1	UL42	3`-short	2538
LT934125.1	UL43	3`-long	40
LT934125.1	UL44	3`-short	1622
LT934125.1	UL46	3`-short	1996
LT934125.1	UL48-47-46	3`-short	41
LT934125.1	UL49	3`-short	1562
LT934125.1	UL5	3`-long	14
LT934125.1	UL51	3`-short	834
LT934125.1	US2	3`-short	1796
LT934125.1	US4	3`-short	5691
LT934125.1	US4-6-7	3`-short	30
LT934125.1	US6-7	3`-short	98
LT934125.1	US7	3`-long	48
LT934125.1	US7	3`-short	1867
LT934125.1	US8-9-2	3`-short	76
LT934125.1	US9	3`-short	734
LT934125.1	US9	3`-long	337
LT934125.1	US9-2	3`-short	351
LT934125.1	CTO-S	3`-short	1585
LT934125.1	CTO-S	3`-long	381
LT934125.1	NOIR_2-1M-2	3`-short	805
LT934125.1	UL1-2-3-3.5	3`-short	525
LT934125.1	UL10	3`-short	2618
LT934125.1	UL2-3-3.5	3`-short	48
LT934125.1	UL21	3`-short	1045
LT934125.1	UL25-26-26.5	3`-short	23
LT934125.1	UL26-26.5	3`-short	1496
LT934125.1	UL27	3`-short	1157
LT934125.1	UL3	3`-short	521
LT934125.1	UL3-3.5	3`-short	39
LT934125.1	UL3.5	3`-short	1837
LT934125.1	UL31	3`-short	2034
LT934125.1	UL37	3`-long	5
LT934125.1	UL41	3`-long	58
LT934125.1	UL50	3`-short	539
LT934125.1	UL54	3`-short	230
LT934125.1	UL6-7	3`-short	180
LT934125.1	UL7	3`-short	422
LT934125.1	IE180_2	5`-short	5463
LT934125.1	ORF-1	5`-short	2141
LT934125.1	ORF-1	5`-long	2065
LT934125.1	UL11	5`-long	1615
LT934125.1	UL11	5`-short	3009
LT934125.1	UL12-11	5`-long	285
LT934125.1	UL12-11	5`-short	1105
LT934125.1	UL13-12-11	5`-short	258
LT934125.1	UL13-12-11	5`-long	68
LT934125.1	UL14-13-12-11	5`-short	90
LT934125.1	UL14-13-12-11	5`-long	133
LT934125.1	UL18	5`-long	2344
LT934125.1	UL18	5`-short	4725
LT934125.1	UL19	5`-short	7464
LT934125.1	UL19-18	5`-short	501
LT934125.1	UL20-19	5`-short	33
LT934125.1	UL22	5`-short	4436
LT934125.1	UL23	5`-short	2627
LT934125.1	UL23	5`-long	489
LT934125.1	UL23-22	5`-long	58
LT934125.1	UL23-22	5`-short	70
LT934125.1	UL30	5`-short	870
LT934125.1	UL33-34-35	5`-long	367
LT934125.1	UL34-35	5`-long	314
LT934125.1	UL34-35	5`-short	1393
LT934125.1	UL35	5`-short	1881
LT934125.1	UL35	5`-long	1335
LT934125.1	UL38	5`-short	3398
LT934125.1	UL38	5`-long	461
LT934125.1	UL38-39-40	5`-long	7
LT934125.1	UL38-39-40	5`-short	62
LT934125.1	UL39-40	5`-long	300
LT934125.1	UL39-40	5`-short	1259
LT934125.1	UL4	5`-short	1428
LT934125.1	UL4	5`-long	1000
LT934125.1	UL40	5`-long	2131
LT934125.1	UL40	5`-short	4396
LT934125.1	UL42	5`-long	338
LT934125.1	UL42	5`-short	4720
LT934125.1	UL42-43-44	5`-short	169
LT934125.1	UL43	5`-long	616
LT934125.1	UL43	5`-short	4997
LT934125.1	UL43-44	5`-long	216
LT934125.1	UL43-44	5`-short	539
LT934125.1	UL44	5`-long	659
LT934125.1	UL44	5`-short	6489
LT934125.1	UL46	5`-long	1720
LT934125.1	UL46	5`-short	11636
LT934125.1	UL47-46	5`-short	1844
LT934125.1	UL49	5`-short	5436
LT934125.1	UL49	5`-long	875
LT934125.1	UL49.5-49	5`-long	1089
LT934125.1	UL49.5-49	5`-short	1259
LT934125.1	UL5-4	5`-long	71
LT934125.1	UL5-4	5`-short	474
LT934125.1	UL51	5`-short	1725
LT934125.1	UL51-50-49.5-49	5`-short	179
LT934125.1	UL8	5`-short	3074
LT934125.1	UL8	5`-long	263
LT934125.1	UL9L-8	5`-short	143
LT934125.1	US1-splice	5`-short	2839
LT934125.1	US2	5`-long	898
LT934125.1	US2	5`-short	5201
LT934125.1	US3-4	5`-short	545
LT934125.1	US4	5`-short	9156
LT934125.1	US4	5`-long	640
LT934125.1	US4-6-7	5`-short	118
LT934125.1	US6-7	5`-short	703
LT934125.1	US6-7-8-9-2	5`-short	47
LT934125.1	US7	5`-long	845
LT934125.1	US7	5`-short	4757
LT934125.1	US7-8-9	5`-short	94
LT934125.1	US7-8-9-2	5`-short	130
LT934125.1	US8-9	5`-short	1096
LT934125.1	US8-9	5`-long	163
LT934125.1	US8-9-2	5`-short	831
LT934125.1	US8-9-2	5`-long	171
LT934125.1	US9	5`-long	2191
LT934125.1	US9	5`-short	1732
LT934125.1	US9-2	5`-long	1294
LT934125.1	US9-2	5`-short	925
LT934125.1	CTO-S	5`-short	1916
LT934125.1	CTO-S	5`-long	692
LT934125.1	EP0-sp1	5`-long	99
LT934125.1	EP0-sp1	5`-short	1639
LT934125.1	NOIR_2-1M-2	5`-short	3705
LT934125.1	UL1-2-3-3.5	5`-long	92
LT934125.1	UL1-2-3-3.5	5`-short	227
LT934125.1	UL10	5`-short	5251
LT934125.1	UL10	5`-long	711
LT934125.1	UL15-splice	5`-short	400
LT934125.1	UL2	5`-short	39
LT934125.1	UL2-3-3.5	5`-short	678
LT934125.1	UL21	5`-short	3774
LT934125.1	UL24-25-26-26.5	5`-short	144
LT934125.1	UL25-26-26.5	5`-long	125
LT934125.1	UL25-26-26.5	5`-short	529
LT934125.1	UL26-26.5	5`-long	697
LT934125.1	UL26-26.5	5`-short	9595
LT934125.1	UL27	5`-long	246
LT934125.1	UL27	5`-short	9884
LT934125.1	UL29	5`-short	5546
LT934125.1	UL3-3.5	5`-short	1216
LT934125.1	UL3-3.5	5`-long	561
LT934125.1	UL3.5	5`-long	1473
LT934125.1	UL3.5	5`-short	5440
LT934125.1	UL31	5`-short	4719
LT934125.1	UL31	5`-long	910
LT934125.1	UL36-UL36.5	5`-short	138
LT934125.1	UL36.5	5`-long	1137
LT934125.1	UL36.5	5`-short	3698
LT934125.1	UL37	5`-short	5207
LT934125.1	UL50	5`-long	240
LT934125.1	UL50	5`-short	1953
LT934125.1	UL52-53-54	5`-short	68
LT934125.1	UL53-54	5`-short	465
LT934125.1	UL54	5`-long	480
LT934125.1	UL54	5`-short	2972
LT934125.1	UL7	5`-short	2283
LT934125.1	UL16	3`-long	24
LT934125.1	UL35	3`-long	126
LT934125.1	UL43	3`-short	498
LT934125.1	UL43-44	3`-short	57
LT934125.1	UL49.5-49	3`-short	13
LT934125.1	UL51-50-49.5-49	3`-short	20
LT934125.1	US2	3`-long	43
LT934125.1	US8-9	3`-long	25
LT934125.1	US8-9	3`-short	836
LT934125.1	EP0-sp1	3`-short	365
LT934125.1	UL2	3`-long	42
LT934125.1	UL36.5	3`-short	233
LT934125.1	US1_2-splice	3`-short	15012
LT934125.1	UL17-16	3`-short	277
LT934125.1	US1-splice	3`-short	14861
LT934125.1	NOIR-1M	5`-short	3644
LT934125.1	NOIR-1M	5`-long	447
LT934125.1	UL19	5`-long	40
LT934125.1	UL42-43-44	5`-long	22
LT934125.1	US1-splice	5`-long	100
LT934125.1	IE180	5`-short	5505
LT934125.1	UL21	5`-long	238
LT934125.1	US1_2-splice	5`-short	2603
LT934125.1	US1_2-splice	5`-long	111
LT934125.1	UL48-47-46	5`-short	131
LT934125.1	UL5	5`-short	75
LT934125.1	US4-6-7	5`-long	21
LT934125.1	NOIR_2-1M-2	5`-long	449
LT934125.1	UL2-3-3.5	5`-long	148
LT934125.1	UL32-31	5`-short	535
LT934125.1	UL6-7	5`-short	484
LT934125.1	UL7	5`-long	1047
LT934125.1	IE180_2	3`-short	562
LT934125.1	UL11	3`-long	21
LT934125.1	UL13-12-11	3`-short	71
LT934125.1	UL39-40	3`-short	160
LT934125.1	UL42-43-44	3`-short	22
LT934125.1	UL5	3`-short	114
LT934125.1	UL8	3`-short	127
LT934125.1	US6	3`-long	77
LT934125.1	UL2	3`-short	361
LT934125.1	UL3	3`-long	21
LT934125.1	UL37	3`-short	581
LT934125.1	UL41	3`-short	777
LT934125.1	UL53-54	3`-short	144
LT934125.1	UL7	3`-long	3
LT934125.1	UL9L-8	3`-short	10
LT934125.1	IE180	3`-short	561
LT934125.1	UL20-19	3`-short	39
LT934125.1	UL47-46	3`-short	118
LT934125.1	UL5-4	3`-short	14
LT934125.1	UL33-34-35	5`-short	205
LT934125.1	UL37	5`-long	142
LT934125.1	UL15-splice	5`-long	55
LT934125.1	UL29	5`-long	74
LT934125.1	UL41	5`-long	34
LT934125.1	UL6-7	5`-long	271
LT934125.1	UL22	5`-long	102
LT934125.1	UL47-46	5`-long	76
LT934125.1	US6-7	5`-long	170
LT934125.1	UL41	5`-short	237
LT934125.1	US3-4	3`-short	340
LT934125.1	UL31	3`-long	55
LT934125.1	UL54	3`-long	4
LT934125.1	US1_2-splice	3`-long	9
LT934125.1	UL29	3`-short	337
LT934125.1	US7-8-9-2	3`-short	4
