cluster	0.5h	1.5h	12h	1h	2.5h	2h	4h	6h	8h
	0	0	0	0	0	0	0.000575163398694199	1.13003926227847e-05	0
cluster_1	0.0147058823528287	0.0328638497656637	0.00871744966708737	0.0266101225561877	0.0257562144356003	0.0298942985630114	0.0203125172585956	0.0145362354295752	0.0153424911527765
cluster_10	0	0	0	0	0	1.84733615163976e-05	0	0	0
cluster_11	0.00294117647062457	0.0114842903567824	0.00821670467800594	0.0123476670221653	0.0139487870619438	0.0157699068762212	0.0187245303556915	0.0124173516583611	0.0128874153777993
cluster_12	0	0	1.51657618715674e-05	0	0.000673854447675006	0	4.53905860192156e-05	2.1355933562435e-05	2.60944162607858e-05
cluster_2	0	0.00433369447389124	0.00102456897952764	0.00294708125648765	0.001684636118014	0.00353814919365535	0.0046114880251189	0.00378672757107556	0.00232556648833405
cluster_3	0.0367647058822188	0.0240158902131027	0.0382331170873281	0.0254636585290031	0.0278526504939905	0.030794114700792	0.0310146423553473	0.0354243482924543	0.0319387797609368
cluster_4	0	0	0	0	0	1.84733615163976e-05	2.35197273583155e-05	0	2.23458531002086e-05
cluster_5	0.00735294117647318	0.0121343445285834	0.0387645998934521	0.0109175646621083	0.0120956873314243	0.0134148634045773	0.0217433868956594	0.0264580917517694	0.0293393012025416
cluster_6	0	0	1.00761378196971e-05	0	0	0	0	0	6.03684290380158e-06
cluster_7	0.0514705882350476	0.044962080174745	0.00241951288442389	0.0510860574975474	0.0264487870624426	0.0406303747638465	0.0124404039996358	0.00943368149935156	0.00704969589739586
cluster_8	0.0161764705882586	0.0131094257854411	0.0121609331705371	0.0090326026383271	0.0166442048518224	0.0110363645206748	0.0137590192756727	0.0145208386870242	0.0140111125045965
cluster_9	0.0330882352945264	0.00622968580711539	0.00357680702222156	0.0377604287675647	0.00555929919116735	0.00690633011084766	0.00339397193955043	0.00420849853697603	0.00393828166441411
