gene	Kinetic_class	cluster	C6_12h	C6_1h	C6_2h	C6_4h	C6_6h	C6_8h	NRK_1h	NRK_2h	PC_12_0.5h	PC_12_1.5h	PC_12_12h	PC_12_1h	PC_12_2.5h	PC_12_2h	PC_12_4h	PC_12_6h	PC_12_8h	PK_15_12h	PK_15_1h	PK_15_2h	PK_15_4h	PK_15_6h	PK_15_8h
ORF-1	E	cluster_1	0.00841320634446632	0.0188984881212087	0.016155088853194	0.0244705882348252	0.0221205186887	0.0137387100863183	0.0276497695845877	0.0172642762284466	0.0294117647062457	0.0238353196101998	0.00756082181270741	0.0243572395122042	0.0202156334224267	0.0227790432792951	0.0208796695559061	0.0199926740794633	0.0125143752310357	0.00370901759263837	0.0146771037181037	0.0221680336952632	0.0160698535903085	0.0108944171074819	0.00617367125246876
UL54	E	cluster_1	0.00613455063954825	0.0280777537791827	0.0222132471729432	0.0117647058829093	0.0173404525812911	0.0134060062811988	0.0184331797230585	0.0232403718457045	0.0294117647053633	0.0325027085596702	0.00519619424726521	0.030446549390699	0.0208894878708841	0.0291571753982296	0.0121192864591943	0.0127967293303368	0.0115545172188388	0.0030128599920629	0.0185909980429313	0.02541934530375	0.0160874933849788	0.0113745996634974	0.00761501116817883
UL51	L	cluster_2	0.0013706057214546	0.00215982721442002	0.00444264943522418	0.00282352941116814	0.0039664378339066	0.00279862612853111	0	0.00398406374483859	0	0.00433369447389124	0.00118929791457362	0.00473612990549602	0.001684636118014	0.00410022778900101	0.00540147973334731	0.00407652042327799	0.00217326342635338	0.000513803302554718	0.00489236790603456	0.0016256558055576	0.00560945493084125	0.00331722445604207	0.00200480991011765
UL50	L	cluster_1	0.00315447844930292	0.0151187904968014	0.0153473344109315	0.00988235294074779	0.0108314263914077	0.00728034209986803	0.0276497695863388	0.0265604249672161	0	0.0162513542789911	0.00274376616299624	0.0135317997291009	0.00977088948854938	0.0136674259665315	0.010621397121442	0.0071132327400918	0.00434652685508366	0.00170885473488501	0.00391389432482765	0.0138919677823533	0.0116422649490418	0.00620272514581191	0.00326649272684949
UL49.5	L	cluster_3	0.0317779580811233	0.0296976241899978	0.0327140549271221	0.0228235294109524	0.0299008390542409	0.0286418834937631	0.018433179723934	0	0.0294117647062457	0.0205850487545703	0.0337134031486152	0.0209742895805947	0.0283018867921798	0	0	0.0322340513501927	0.0308784511867325	0.0419770417077566	0.0195694716241382	0.0376117638353562	0.0345387193516519	0.0299034788993758	0.031768683317131
UL49	L	cluster_3	0.0317779580811233	0.0296976241899978	0.0327140549271221	0.0228235294109524	0.0299008390542409	0.0286418834937631	0.018433179723934	0.0179282868525864	0.0294117647062457	0.0205850487545703	0.0337134031486152	0.0209742895805947	0.0283018867921798	0.0223234624127856	0.0307748173025103	0.0322340513501927	0.0308784511867325	0.0419770417077566	0.0195694716241382	0.0376117638353562	0.0345387193516519	0.0299034788993758	0.031768683317131
UL48	L	cluster_4	0	0	0	0	0	4.89270305892211e-05	0	0	0	0	0	0	0	0	0	0	1.81105287114047e-05	0	0	7.38934460655906e-05	7.05591820749464e-05	0	0
UL46	L	cluster_5	0.0508375291948092	0.0269978401719727	0.0149434571878142	0.0258823529420686	0.0338672768881475	0.0327908956583765	0.016129032257895	0.0159362549801671	0.0294117647053633	0.00975081256773226	0.045424794866186	0.0223274695535935	0.00909703504009203	0.0154897494308268	0.022559121238911	0.0295163710695445	0.0324540671711556	0.0557912398817896	0.010763209393276	0.0306657799454938	0.0301816898916117	0.0344982532815592	0.0357068486122095
UL27	L	cluster_5	0.0216699778582145	0.0140388768895914	0.0137318255248177	0.024941176470573	0.0258326976876616	0.0189543315084738	0.0138248847918561	0.00863213811381694	0	0.00650054171125885	0.0219481338404659	0.0135317997291009	0.0124663072784671	0.0175398633257629	0.0160228768565529	0.0172513617942574	0.0244492135496447	0.0250307077760045	0.00391389432482765	0.0135963940007194	0.00987828541328776	0.0156874319918074	0.024704892797897
UL28	E	cluster_6	1.13743215983163e-05	0	0	0	0	0	0	0	0	0	1.19727979883053e-05	0	0	0	0	0	1.81105287114047e-05	6.8812938724696e-06	0	0	0	0	0
UL29	E	cluster_1	0.00894021656762176	0.0205183585320237	0.0145395799686691	0.00988235294074779	0.0103737604883202	0.0126623154221773	0.0230414746533853	0.0192563081016787	0.0147058823531228	0.0195016251354645	0.00626177325052231	0.0331529093375845	0.0198787061989804	0.0250569476083573	0.0125731923196804	0.0109770651407965	0.0113553014038056	0.00224788944979121	0.022504892367759	0.0423409443581455	0.0185923443291261	0.0106477178120939	0.0102506624854347
UL30	E	cluster_7	0.000343125360430246	0.00431965442718453	0.0016155088853194	0.000941176470665929	0.000915331807107394	0.000684978423437201	0	0.00265604249655906	0	0.00216684723736761	0.000377143131099722	0.00608930987849488	0.00101078167033899	0.0034168564901081	0.000544687032230587	0.000886200092057054	0.00100513433555997	9.06037071114588e-05	0.00195694716241382	0.00384245917525915	0.000635032634432499	0.00044934514595279	0.000434851844542155
UL31	L	cluster_8	0.0215846704470057	0.00701943844520956	0.0145395799670802	0.0305882352945686	0.0353928299006147	0.0252757038137653	0.00921658986152923	0.0119521912345158	0	0.0130010834225177	0.0333841512079936	0.00608930987849488	0.0131401617245774	0.0120728929372335	0.025373337569163	0.0272831468385199	0.0349080437901588	0.0298384386808156	0.000978473581206912	0.0126357792053713	0.0251719880041655	0.031048868487545	0.0319952962503406
UL32	L	cluster_8	0.0215846704470057	0.00701943844520956	0.0145395799670802	0.0305882352945686	0.0353928299006147	0.0252757038137653	0.00921658986152923	0.0119521912345158	0	0.0130010834225177	0.0333841512079936	0.00608930987849488	0.0131401617245774	0.0120728929372335	0.025373337569163	0.0272831468385199	0.0349080437901588	0.0298384386808156	0.000978473581206912	0.0126357792053713	0.0251719880041655	0.031048868487545	0.0319952962503406
UL34	E	cluster_5	0.0686971094047868	0.0232181425483932	0.0210016155091522	0.0364705882368529	0.0477498093072868	0.0487313221059721	0.0299539170506267	0.0179282868525864	0	0.0249187432293056	0.0824546630066683	0.0169147496615981	0.0215633423177767	0.029612756264739	0.0504743316222107	0	0.0652431791210953	0.0808942012479123	0.0185909980429313	0	0.0376786029268381	0.0582474658239908	0.0630208524732673
UL35	L	cluster_5	0.0686971094047868	0.0232181425483932	0.0210016155091522	0.0364705882368529	0.0477498093072868	0.0487313221059721	0.0299539170506267	0.0179282868525864	0	0.0249187432293056	0.0824546630066683	0.0169147496615981	0.0215633423177767	0.029612756264739	0.0504743316222107	0.0610178303457763	0.0652431791210953	0.0808942012479123	0.0185909980429313	0.0297790585979636	0.0376786029268381	0.0582474658239908	0.0630208524732673
UL36	L	cluster_9	0.0097041918170684	0.0232181425483932	0.00726978998433453	0.00658823529383186	0.00879735570811806	0.00893407571886683	0.020737327189973	0.0139442231077478	0.0441176470593685	0.0173347778980969	0.011597650140001	0.0446549391062994	0.0121293800542384	0.0166287015944866	0.00880577368302487	0.0130212333547278	0.0105765486771382	0.00753845783324511	0.0391389432482765	0.0217985664666876	0.00428647027796525	0.00742741093466283	0.00686167628186037
UL37	L	cluster_8	0.00645871879731464	0.00269978401719727	0.00242326332758189	0.00235294117542035	0.00457665903833407	0.00428600784817806	0	0.00398406374483859	0	0.00216684723736761	0.00541569553953782	0.00202976995949829	0.001684636118014	0.00159453302929798	0.00485679270111672	0.0057780246001751	0.00589497704406278	0.0036493797086959	0.000978473581206912	0.00177344269593647	0.0026459693066004	0.00419829337089403	0.00368501210613688
UL38	E	cluster_8	0.0069288574124785	0.00917926565962958	0.00686591276201164	0.00847058823516372	0.0136282735832619	0.00909064221643155	0.0046082949312024	0.00664010624139765	0	0.00433369447473523	0.00871819226769991	0.00608930987849488	0.00438005390793167	0.00478359908789393	0.0145703781033502	0.0147463695334157	0.00920920377051936	0.0158166547964104	0.00195694716241382	0.0082760659120338	0.0146233903688013	0.0195905672758188	0.0132660435832386
UL39	E	cluster_1	0.0313836482766148	0.0680345572343646	0.0621970920836054	0.0501176470602644	0.045461479786255	0.0480072020585447	0.0345622119818291	0.0750332005318571	0.0294117647053633	0.0639219935019226	0.029594760703333	0.0568335588632892	0.0528975741248852	0.0587699316664538	0.0407607462199772	0	0.044298352847	0.0110903525394713	0.0381604696670696	0.0496563954757074	0.0497089433747468	0	0.026013531444768
UL40	E	cluster_1	0.0313836482766148	0.0680345572343646	0.0621970920836054	0.0501176470602644	0.045461479786255	0.0480072020585447	0.0345622119818291	0.0750332005318571	0.0294117647053633	0.0639219935019226	0.029594760703333	0.0568335588632892	0.0528975741248852	0.0587699316664538	0.0407607462199772	0.0356961397130753	0.044298352847	0.0110903525394713	0.0381604696670696	0.0496563954757074	0.0497089433747468	0.0306920355787857	0.026013531444768
UL41	L	cluster_8	3.03315242621768e-05	0.000539956803605005	0.000807754443056915	0	0.000203407068142491	0.00013699568516863	0	0.00132802124827953	0	0	7.38322536465611e-05	0	0	0	0.000272343516115293	0.000271768028894867	0.000217326343744557	8.37224132389892e-05	0	7.38934460655906e-05	5.29193865562098e-05	0.000145376370981221	0.000165366194437937
UL42	L	cluster_8	0.00744828475378984	0.00755939524798681	0.00969305331191642	0.0124705882352865	0.0107297228559379	0.00754454806280427	0.016129032257895	0.0185922974767262	0.0294117647062457	0.0162513542789911	0.00616998180173726	0.00405953991899659	0.014487870619145	0.0109339407727024	0.0122554582198974	0.0101735770568519	0.00842139577949625	0.0100719209913728	0.00684931506844839	0.00679819700298815	0.0129828893982849	0.0117314325722568	0.0106834727700808
UL43	L	cluster_1	0.00522081349217138	0.0124190064796041	0.0173667205153961	0.00776470588195686	0.0126112382425494	0.00809253080027086	0.0460829493085217	0.0298804780879149	0	0.028169014082403	0.00524608090419757	0.0155615696894869	0.0192048517520877	0.0205011389511042	0.0133902228671445	0.0117569212238726	0.0089647116337077	0.00447513501796501	0.00587084148724147	0.021724673020622	0.0153819015693198	0.00980629699977193	0.00981172752519272
UL44	L	cluster_5	0.0175429949348339	0.00161987041081502	0.00726978998433453	0.0141176470591593	0.0173913043480936	0.01111622126855	0.00230414746516341	0.00132802124827953	0	0.00325027085562943	0.0229139395298583	0.00135317997299886	0.00370619946025667	0.00546697038591555	0.0117561617713345	0.0162824496922434	0.0192152707980021	0.0423968006577494	0.000978473581206912	0.013300820216457	0.00601517022353017	0.0130310092212475	0.0210750027557544
