gene	Kinetic_class	hpi	Time	cell_line	group	seqnames	strand	norm_base	sample	read_count	mean	sd	varcoeff	libtype	sample_name	norm.method	cluster
ORF-1	E	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	+	1133333.333342	PC_12_0.5h	0.0294117647062457	0.0294117647062457			dcDNA	PC_12_0.5h	viral_read.count	cluster_1
ORF-1	E	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	+	1184852.374789	PC_12_1.5h	0.0238353196101998	0.0238353196101998			dcDNA	PC_12_1.5h	viral_read.count	cluster_1
ORF-1	E	12h	12	C6	C6_12h	LT934125.1	+	1284417.877033	C6_12h	0.00841320634446632	0.00841320634446632			dcDNA	C6_12h	viral_read.count	cluster_1
ORF-1	E	12h	12	PC_12	PC_12_12h	LT934125.1	+	1355773.731074	PC_12_12h	0.00756082181270741	0.00756082181270741			dcDNA	PC_12_12h	viral_read.count	cluster_1
ORF-1	E	12h	12	PK_15	PK_15_12h	LT934125.1	+	1346113.706473	PK_15_12h	0.00370901759263837	0.00370901759263837			dcDNA	PK_15_12h	viral_read.count	cluster_1
ORF-1	E	1h	1	C6	C6_1h	LT934125.1	+	1208088.714958	C6_1h	0.0188984881212087	0.0188984881212087			dcDNA	C6_1h	viral_read.count	cluster_1
ORF-1	E	1h	1	NRK	NRK_1h	LT934125.1	+	1142105.263134	NRK_1h	0.0276497695845877	0.0276497695845877			dcDNA	NRK_1h	viral_read.count	cluster_1
ORF-1	E	1h	1	PC_12	PC_12_1h	LT934125.1	+	1126524.390264	PC_12_1h	0.0243572395122042	0.0243572395122042			dcDNA	PC_12_1h	viral_read.count	cluster_1
ORF-1	E	1h	1	PK_15	PK_15_1h	LT934125.1	+	764970.059873	PK_15_1h	0.0146771037181037	0.0146771037181037			dcDNA	PK_15_1h	viral_read.count	cluster_1
ORF-1	E	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	+	1278208.440965	PC_12_2.5h	0.0202156334224267	0.0202156334224267			dcDNA	PC_12_2.5h	viral_read.count	cluster_1
ORF-1	E	2h	2	C6	C6_2h	LT934125.1	+	1258769.700049	C6_2h	0.016155088853194	0.016155088853194			dcDNA	C6_2h	viral_read.count	cluster_1
ORF-1	E	2h	2	NRK	NRK_2h	LT934125.1	+	1230392.15684	NRK_2h	0.0172642762284466	0.0172642762284466			dcDNA	NRK_2h	viral_read.count	cluster_1
ORF-1	E	2h	2	PC_12	PC_12_2h	LT934125.1	+	1147712.418228	PC_12_2h	0.0227790432792951	0.0227790432792951			dcDNA	PC_12_2h	viral_read.count	cluster_1
ORF-1	E	2h	2	PK_15	PK_15_2h	LT934125.1	+	1141351.10068	PK_15_2h	0.0221680336952632	0.0221680336952632			dcDNA	PK_15_2h	viral_read.count	cluster_1
ORF-1	E	4h	4	C6	C6_4h	LT934125.1	+	1205331.820713	C6_4h	0.0244705882348252	0.0244705882348252			dcDNA	C6_4h	viral_read.count	cluster_1
ORF-1	E	4h	4	PC_12	PC_12_4h	LT934125.1	+	1134040.2533	PC_12_4h	0.0208796695559061	0.0208796695559061			dcDNA	PC_12_4h	viral_read.count	cluster_1
ORF-1	E	4h	4	PK_15	PK_15_4h	LT934125.1	+	1178684.298121	PK_15_4h	0.0160698535903085	0.0160698535903085			dcDNA	PK_15_4h	viral_read.count	cluster_1
ORF-1	E	6h	6	C6	C6_6h	LT934125.1	+	1072538.860091	C6_6h	0.0221205186887	0.0221205186887			dcDNA	C6_6h	viral_read.count	cluster_1
