gene	Kinetic_class	cluster	C6_12h_1	C6_12h_2	C6_12h_3	C6_1h_1	C6_1h_2	C6_1h_3	C6_2h_1	C6_2h_2	C6_4h_1	C6_4h_2	C6_4h_3	C6_6h_1	C6_6h_2	C6_6h_3	C6_8h_1	C6_8h_2	C6_8h_3	NRK_12h_1	NRK_12h_2	NRK_12h_3	NRK_1h_1	NRK_1h_2	NRK_1h_3	NRK_2h_1	NRK_2h_2	NRK_2h_3	NRK_4h_1	NRK_4h_2	NRK_4h_3	NRK_6h_1	NRK_6h_2	NRK_6h_3	NRK_8h_1	NRK_8h_2	NRK_8h_3	PC-12_0.5h_1	PC-12_0.5h_2	PC-12_1.5h_1	PC-12_1.5h_2	PC-12_1.5h_3	PC-12_12h_1	PC-12_12h_2	PC-12_12h_3	PC-12_1h_1	PC-12_1h_2	PC-12_1h_3	PC-12_2.5h_1	PC-12_2.5h_2	PC-12_2.5h_3	PC-12_2h_1	PC-12_2h_2	PC-12_2h_3	PC-12_4h_1	PC-12_4h_2	PC-12_4h_3	PC-12_6h_1	PC-12_6h_2	PC-12_6h_3	PC-12_8h_1	PC-12_8h_2	PK-15_12h_1	PK-15_12h_2	PK-15_12h_3	PK-15_1h_1	PK-15_1h_2	PK-15_1h_3	PK-15_2h_1	PK-15_2h_2	PK-15_2h_3	PK-15_4h_1	PK-15_4h_2	PK-15_4h_3	PK-15_6h_1	PK-15_6h_2	PK-15_6h_3	PK-15_8h_1	PK-15_8h_2	PK-15_8h_3
AZURE	E	cluster_1	0.000273422603414904	0.000247260813797153	0.000382373882545292	0	0	0	0	0	0	0	0	0.00184550487740575	0.00016498927569708	0.00122149837133551	0.000365280124195242	0.000454263886021061	0.000825603418969453	0.00044304246118948	0.000600467320218779	0.000672865182285295	0	0	0	0	0	0.00239808153477218	0.00200937709310114	0.000864304235090752	0.00243457090687766	0.000552028705492686	0.000862192843799397	0.00161503450300984	0.000792942808999901	0.000653893938403191	0.000584893048128342	0	0	0	0.00523560209424084	0	0.000141842630329737	0.000266915788068864	0.000151413553676105	0	0	0	0	0.00277008310249308	0	0	0	0	0.000822537528274727	0.000664010624169987	0.000918779860345461	0.000444218809493591	0.000437532317728014	0.000294146484949505	0.000196283695367705	0.000407429598562013	1.93498452012384e-05	3.41561717762673e-05	2.55007063695664e-05	0	0	0	0	0	0	0	7.98403193612775e-05	0	1.85092638865752e-05	2.09415312447646e-05	8.53315129277242e-05	6.48917235241768e-05	2.96015629625244e-05	1.98684707238084e-05
CTO	L		0.00335302455766699	0.00363937010307685	0.00189868410643179	0.00614754098360656	0	0	0.00272851296043656	0.00493218249075216	0.0072202166064982	0.0110497237569061	0.0126984126984127	0.0142367519114158	0.0117142385744927	0.0156758957654723	0.00894936304278344	0.0120173446211026	0.0105385848186101	0.0118912596583257	0.0115524690955135	0.0186720088084169	0	0.0170940170940171	0.0113636363636364	0.00338983050847458	0.0168776371308017	0.0143884892086331	0.00736771600803751	0.00302506482281763	0.00669506999391357	0.014490753519183	0.0165253628394884	0.0120393481133461	0.00738427990881158	0.00647354999019159	0.00476270053475936	0.0344827586206897	0	0.0179640718562874	0.0366492146596859	0.0180995475113122	0.0172102391466747	0.021128052849326	0.0155631502671368	0.00769230769230769	0	0.00286532951289398	0.0515759312320917	0.0554016620498615	0.0553977272727273	0.00303951367781155	0.00121065375302663	0.00179856115107914	0.0191239975323874	0.0177069499778663	0.0132304299889746	0.0130092651351694	0.0193309733105286	0.0142170801058927	0.0192358021460351	0.00800479328939485	0.0263673890608875	0.0164681542492717	0.0384142640751149	0.00263157894736842	0	0	0.000484496124031008	0.000536193029490617	0.0293140512018761	0.0177989471045375	0.0166067864271457	0.00653480874793064	0.0248024136080108	0.016899815714525	0.02971669937708	0.010215811331949	0.0173563830836935	0.0175935308259323
ELIE	unknown	cluster_3	3.59766583440664e-05	0.000108176606036255	7.91118377679914e-05	0	0	0	0	0	0	0	0	0	0.00016498927569708	0	0	0.000123890150733017	4.85649069982031e-05	1.77216984475792e-05	9.13754617724229e-05	4.58771715194519e-05	0	0	0	0.00338983050847458	0	0	0.000669792364367046	0	0.000608642726719416	0	0.000143698807299899	0	9.91178511249876e-05	6.53893938403191e-05	0.000250668449197861	0	0	0	0.00523560209424084	0	0.000198579682461632	0.000116775657280128	0.000118967792174082	0	0	0	0	0	0	0	0.00121065375302663	0	0	0	0	0.000190379489782967	0.000238653991488008	0.000245122070791254	0.000130855796911803	0.000239664469742361	2.57997936016512e-05	1.4638359332686e-05	1.53004238217399e-05	0	0	0	0	0	0.000390854016025015	8.35631319461854e-05	0	0	3.70185277731505e-05	4.18830624895292e-05	0	4.63512310886977e-05	1.97343753083496e-05	6.95396475333294e-05
EP0	E	cluster_4	0.00877110930428338	0.0128730161183143	0.0157564410221249	0.118852459016393	0.105381165919283	0.120300751879699	0.0791268758526603	0.0739827373612824	0.0252707581227437	0.0239410681399632	0.0285714285714286	0.0274189296071711	0.0270582412143211	0.0297231270358306	0.025569608693667	0.0284947346685938	0.0270506531979991	0.021354646629333	0.0217734671766288	0.0214705162711035	0.197674418604651	0.290598290598291	0.238636363636364	0.2	0.160337552742616	0.18705035971223	0.0797052913596785	0.0605012964563526	0.068776628119294	0.0331217223295611	0.0383675815490731	0.0403758625752459	0.0418277331747448	0.0373373438828222	0.0397727272727273	0.172413793103448	0.1	0.107784431137725	0.172774869109948	0.135746606334842	0.00745146617998884	0.00672294141198452	0.010047370811793	0.117948717948718	0.150375939849624	0.126074498567335	0.0873925501432665	0.0941828254847645	0.0838068181818182	0.0840932117527862	0.0920096852300242	0.0890287769784173	0.0234423195558297	0.0270030987162461	0.0305034913634693	0.0257646909506283	0.0204844676027207	0.0193646435925091	0.0199882229782779	0.0193648891551827	0.00178018575851393	0.00195666069746903	0.00121893376446528	0.0526315789473684	0.0996563573883162	0.132075471698113	0.23062015503876	0.20857908847185	0.0742622630447528	0.0538982201052895	0.0541317365269461	0.0708373268275682	0.0287263775519648	0.0289621377115095	0.0242768154279375	0.0164639572827054	0.0145442346022537	0.0163219486996086
IE180	IE	cluster_5	0.00885025795264033	0.00999088225749123	0.0127633764932359	0.0163934426229508	0.0112107623318386	0.0150375939849624	0.00409276944065484	0.00369913686806412	0.00451263537906137	0.00552486187845304	0.00317460317460317	0.00421829686264171	0.00428972116812407	0.00570032573289902	0.00881238299621022	0.00991121205864134	0.0111699286095867	0.00956971716169278	0.00644849687365384	0.00704979202348911	0.0465116279069768	0.0427350427350427	0.0681818181818182	0.00677966101694915	0.0126582278481013	0.00479616306954436	0.0107166778298727	0.00777873811581677	0.00791235544735241	0.0131106817554513	0.00919672366719356	0.0132139186609896	0.011745465358311	0.0127509317988622	0.0121991978609626	0.0689655172413793	0.1	0.0119760479041916	0.0209424083769634	0.00452488687782806	0.00946563153067111	0.00849125850794075	0.010069001319461	0.0205128205128205	0.0451127819548872	0.0315186246418338	0.0128939828080229	0.00554016620498615	0.00426136363636364	0.00506585612968592	0.00968523002421307	0.00989208633093525	0.0131606004523956	0.00951748561310314	0.0147004777655274	0.0147226805432161	0.0115747185871684	0.012305127953721	0.0105666056006281	0.0117435590173757	0.00254772961816306	0.00209816483768499	0.00299888306906101	0.586842105263158	0.43298969072165	0.415094339622642	0.0625	0.0557640750670241	0.0150478796169631	0.0119495278683045	0.0146906187624751	0.0182103337109001	0.0146593369981676	0.0149941363712515	0.00938646642204966	0.0117268614654405	0.00992639078009985	0.0121595040829707
NOIR	E	cluster_6	0.00333863389432936	0.00257305784357663	0.0021228343134411	0	0	0	0.00136425648021828	0.0061652281134402	0.00902527075812274	0.00736648250460405	0.00476190476190476	0.00843659372528342	0.00511466754660947	0.00692182410423453	0.00598146203369709	0.00937435473879827	0.00820746928269632	0.0176685333522365	0.00800187972378503	0.00948128211402006	0	0	0	0	0	0	0.0107166778298727	0.00864304235090752	0.00426049908703591	0.0128346674027049	0.00718494036499497	0.00807517251504919	0.0102091386658737	0.0118354802850978	0.0098596256684492	0	0	0	0	0	0.0111582869192726	0.00972574402775924	0.0082304081676797	0.00256410256410256	0.0037593984962406	0.0114613180515759	0.00573065902578797	0.00277008310249308	0.00426136363636364	0.00303951367781155	0.00121065375302663	0.00629496402877698	0.0125436973061896	0.0194776449756529	0.0115766262403528	0.00831323772052291	0.0143987908197765	0.0129424453377782	0.00814577335775975	0.0101857399640503	0.00900412796697626	0.00785591950854148	0.0117507254950962	0.00263157894736842	0.00343642611683849	0	0.000484496124031008	0.00160857908847185	0.0121164744967755	0.0167126263892371	0.01812375249501	0.0168162411780082	0.0158254206230218	0.0168369911207908	0.0277327417015104	0.0122738059922872	0.0156789611824838	0.0150901035147325
NOIR_2	E	cluster_6	0.00331704789932292	0.00258851164443895	0.0021228343134411	0	0	0	0.00136425648021828	0.0061652281134402	0.00902527075812274	0.00736648250460405	0.00476190476190476	0.00843659372528342	0.00494967827091239	0.00712540716612378	0.00598146203369709	0.00937435473879827	0.00820746928269632	0.0177571418444744	0.00802798699857715	0.00946598972351358	0	0	0	0	0	0	0.0107166778298727	0.00864304235090752	0.00426049908703591	0.0126966602263318	0.00732863917229487	0.00822199383350463	0.0103578154425612	0.0119008696789381	0.0098596256684492	0	0	0	0	0	0.0112244801467598	0.00972574402775924	0.00828448443684973	0.00256410256410256	0.0037593984962406	0.0114613180515759	0.00573065902578797	0.00277008310249308	0.00426136363636364	0.00303951367781155	0.00121065375302663	0.00629496402877698	0.0125436973061896	0.0194776449756529	0.0115766262403528	0.00831323772052291	0.0145181178155205	0.0129424453377782	0.00814577335775975	0.0102336728579988	0.00901057791537668	0.00786079896165238	0.0117966267665614	0.00263157894736842	0.00343642611683849	0	0.000484496124031008	0.00160857908847185	0.0121164744967755	0.0167126263892371	0.01812375249501	0.0169033719613139	0.015862439150795	0.0169416987770146	0.02783940609267	0.0122645357460694	0.0157184299331005	0.0151099719854563
ORF-1	E	cluster_7	0.012447923787047	0.0125793939019302	0.0143324279423011	0.0204918032786885	0.0336322869955157	0.037593984962406	0.0259208731241473	0.0258939580764488	0.0415162454873646	0.0322283609576427	0.0349206349206349	0.0284735038228315	0.0298630589011714	0.0299267100977199	0.0226017076845806	0.0212678092091679	0.0191831382642902	0.0228609909973772	0.0206378007231715	0.0199412772204551	0.0348837209302326	0.0427350427350427	0.0454545454545455	0.0338983050847458	0.029535864978903	0.0215827338129496	0.0475552578700603	0.0432152117545376	0.0535605599513086	0.0367099089152636	0.0501508837476649	0.039054470709147	0.0300822678164337	0.0309291832864709	0.0302473262032086	0.0344827586206897	0.1	0.0658682634730539	0.0209424083769634	0.0316742081447964	0.0130306096396252	0.0116275190177499	0.0111288961951937	0.0358974358974359	0.037593984962406	0.0343839541547278	0.0358166189111748	0.03601108033241	0.03125	0.0293819655521783	0.0375302663438257	0.0359712230215827	0.0308451573103023	0.0325365205843293	0.029952223447262	0.0253839319710623	0.029951075931745	0.0266692813020884	0.0189740905522115	0.0192690233672858	0.0059984520123839	0.00603100404506663	0.00547755172818287	0.0105263157894737	0.0206185567010309	0.0314465408805031	0.0426356589147287	0.0289544235924933	0.0310728942739887	0.0273251441464026	0.0265868263473054	0.0221312189596584	0.0151775963869917	0.016543809683364	0.0184529396706204	0.00914046277069119	0.0103210782862668	0.0100037750094375
UL1-2-3-3.5	E/L		0.046280373293807	0.0487181072184704	0.0435510666912792	0.0184426229508197	0.00448430493273543	0.0075187969924812	0.0150068212824011	0.0172626387176326	0.0180505415162455	0.0322283609576427	0.0380952380952381	0.0290007909306617	0.0336578122422043	0.0350162866449511	0.0448837952604904	0.0391905843485443	0.0414258656694672	0.0378181044871341	0.0446956544441109	0.042436383655493	0.0116279069767442	0.0170940170940171	0	0.0101694915254237	0.029535864978903	0.0167865707434053	0.0321500334896182	0.0289541918755402	0.0371272063298844	0.0420921887938173	0.0382238827417732	0.034062545881662	0.0428684706115571	0.0436801150853332	0.0457887700534759	0.0344827586206897	0	0.0119760479041916	0.0261780104712042	0.0316742081447964	0.0517347353689327	0.0505138128920326	0.0555038826761264	0.0230769230769231	0.0263157894736842	0.0171919770773639	0.0315186246418338	0.0110803324099723	0.0227272727272727	0.0202634245187437	0.0254237288135593	0.0215827338129496	0.0345465761875386	0.0400619743249225	0.0332598309445057	0.0475948724457418	0.0421224294976333	0.0444161192273752	0.0441638314577336	0.0357819053325344	0.0436145510835913	0.0415729405048282	0.0635018590014943	0.00526315789473684	0.013745704467354	0.00628930817610063	0.0111434108527132	0.00804289544235925	0.026968927105726	0.0321718057992814	0.0323353293413174	0.0342423978391566	0.0395357876617247	0.0410663427709834	0.0276474101885826	0.0397508157816672	0.0334695005229609	0.0411774055750929
UL10	L	cluster_8	0.0513530821203203	0.0465777557990388	0.0457134569236043	0.0122950819672131	0.015695067264574	0.0075187969924812	0.0218281036834925	0.0209617755856967	0.0306859205776173	0.0303867403314917	0.0206349206349206	0.0424466121803322	0.0419072760270582	0.0419381107491857	0.039541573444135	0.0382820565765022	0.0425428585304259	0.040724463032537	0.0362107901366716	0.0357077318326401	0	0	0	0	0.0126582278481013	0.00479616306954436	0.0180843938379102	0.0155574762316335	0.0133901399878271	0.0204250621032294	0.0162379652248886	0.0212890911760388	0.0235900485677471	0.021513110573465	0.0247326203208556	0	0	0.0179640718562874	0.0104712041884817	0.0135746606334842	0.0466378568524175	0.0476945148805552	0.0423309035063053	0.00256410256410256	0	0.00859598853868195	0.0100286532951289	0.0138504155124654	0.00994318181818182	0.0131712259371834	0.0145278450363196	0.0134892086330935	0.017478922475838	0.0196989818503763	0.0200294009555311	0.0294453610864323	0.0278429656736009	0.030689283263065	0.0352002093692751	0.0366686638705812	0.0770704334365325	0.081579576561059	0.0806995353771299	0.00526315789473684	0.00687285223367698	0	0.000484496124031008	0.00214477211796247	0.0439710768028141	0.0224784824935239	0.0277844311377246	0.0233510499259388	0.031502767134951	0.0346163511475959	0.0410231248400034	0.0457764758231979	0.0529769305152646	0.0442272158311975
