gene	Kinetic_class	hpi	Time	cell_line	group	seqnames	strand	norm_base	sample	read_count	mean.x	sd.x	varcoeff.x	mean.y	sd.y	varcoeff.y	libtype	sample_name	norm.method	cluster
AZURE	E	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	LT934125.1	-	29	PC-12_0.5h_1	0	0	0		0	0		dcDNA	PC-12_0.5h_1	viral_read.count	cluster_1
AZURE	E	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	LT934125.1	-	10	PC-12_0.5h_2	0	0	0		0	0		dcDNA	PC-12_0.5h_2	viral_read.count	cluster_1
AZURE	E	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	LT934125.1	-	167	PC-12_1.5h_1	0	0.00174520069808028	0.00302277627847972	1.73205080756888	0.00174520069808028	0.00302277627847972	1.73205080756888	dcDNA	PC-12_1.5h_1	viral_read.count	cluster_1
AZURE	E	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	LT934125.1	-	191	PC-12_1.5h_2	0.00523560209424084	0.00174520069808028	0.00302277627847972	1.73205080756888	0.00174520069808028	0.00302277627847972	1.73205080756888	dcDNA	PC-12_1.5h_2	viral_read.count	cluster_1
AZURE	E	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	LT934125.1	-	221	PC-12_1.5h_3	0	0.00174520069808028	0.00302277627847972	1.73205080756888	0.00174520069808028	0.00302277627847972	1.73205080756888	dcDNA	PC-12_1.5h_3	viral_read.count	cluster_1
AZURE	E	12h	12	C6	C6_dcDNA_12h	LT934125.1	-	138979	C6_12h_1	0.000273422603414904	0.000301019099919116	7.16593350591185e-05	0.238055774794268	0.000301019099919116	7.16593350591185e-05	0.238055774794268	dcDNA	C6_12h_1	viral_read.count	cluster_1
AZURE	E	12h	12	C6	C6_dcDNA_12h	LT934125.1	-	129418	C6_12h_2	0.000247260813797153	0.000301019099919116	7.16593350591185e-05	0.238055774794268	0.000301019099919116	7.16593350591185e-05	0.238055774794268	dcDNA	C6_12h_2	viral_read.count	cluster_1
AZURE	E	12h	12	C6	C6_dcDNA_12h	LT934125.1	-	75842	C6_12h_3	0.000382373882545292	0.000301019099919116	7.16593350591185e-05	0.238055774794268	0.000301019099919116	7.16593350591185e-05	0.238055774794268	dcDNA	C6_12h_3	viral_read.count	cluster_1
AZURE	E	12h	12	NRK	NRK_dcDNA_12h	LT934125.1	-	56428	NRK_12h_1	0.00044304246118948	0.000572124987897851	0.000117503560090806	0.205380926504446	0.000572124987897851	0.000117503560090806	0.205380926504446	dcDNA	NRK_12h_1	viral_read.count	cluster_1
AZURE	E	12h	12	NRK	NRK_dcDNA_12h	LT934125.1	-	76607	NRK_12h_2	0.000600467320218779	0.000572124987897851	0.000117503560090806	0.205380926504446	0.000572124987897851	0.000117503560090806	0.205380926504446	dcDNA	NRK_12h_2	viral_read.count	cluster_1
AZURE	E	12h	12	NRK	NRK_dcDNA_12h	LT934125.1	-	65392	NRK_12h_3	0.000672865182285295	0.000572124987897851	0.000117503560090806	0.205380926504446	0.000572124987897851	0.000117503560090806	0.205380926504446	dcDNA	NRK_12h_3	viral_read.count	cluster_1
AZURE	E	12h	12	PC-12	PC-12_dcDNA_12h	LT934125.1	-	105751	PC-12_12h_1	0.000141842630329737	0.000186723990691569	6.96128143259303e-05	0.372811303293731	0.000186723990691569	6.96128143259303e-05	0.372811303293731	dcDNA	PC-12_12h_1	viral_read.count	cluster_1
AZURE	E	12h	12	PC-12	PC-12_dcDNA_12h	LT934125.1	-	119888	PC-12_12h_2	0.000266915788068864	0.000186723990691569	6.96128143259303e-05	0.372811303293731	0.000186723990691569	6.96128143259303e-05	0.372811303293731	dcDNA	PC-12_12h_2	viral_read.count	cluster_1
AZURE	E	12h	12	PC-12	PC-12_dcDNA_12h	LT934125.1	-	92462	PC-12_12h_3	0.000151413553676105	0.000186723990691569	6.96128143259303e-05	0.372811303293731	0.000186723990691569	6.96128143259303e-05	0.372811303293731	dcDNA	PC-12_12h_3	viral_read.count	cluster_1
AZURE	E	12h	12	PK-15	PK-15_dcDNA_12h	LT934125.1	-	155040	PK-15_12h_1	1.93498452012384e-05	2.6335574449024e-05	7.43838559058179e-06	0.282446301104226	2.6335574449024e-05	7.43838559058179e-06	0.282446301104226	dcDNA	PK-15_12h_1	viral_read.count	cluster_1
AZURE	E	12h	12	PK-15	PK-15_dcDNA_12h	LT934125.1	-	204941	PK-15_12h_2	3.41561717762673e-05	2.6335574449024e-05	7.43838559058179e-06	0.282446301104226	2.6335574449024e-05	7.43838559058179e-06	0.282446301104226	dcDNA	PK-15_12h_2	viral_read.count	cluster_1
AZURE	E	12h	12	PK-15	PK-15_dcDNA_12h	LT934125.1	-	196073	PK-15_12h_3	2.55007063695664e-05	2.6335574449024e-05	7.43838559058179e-06	0.282446301104226	2.6335574449024e-05	7.43838559058179e-06	0.282446301104226	dcDNA	PK-15_12h_3	viral_read.count	cluster_1
AZURE	E	1h	1	C6	C6_dcDNA_1h	LT934125.1	-	488	C6_1h_1	0	0	0		0	0		dcDNA	C6_1h_1	viral_read.count	cluster_1
AZURE	E	1h	1	C6	C6_dcDNA_1h	LT934125.1	-	446	C6_1h_2	0	0	0		0	0		dcDNA	C6_1h_2	viral_read.count	cluster_1
AZURE	E	1h	1	C6	C6_dcDNA_1h	LT934125.1	-	266	C6_1h_3	0	0	0		0	0		dcDNA	C6_1h_3	viral_read.count	cluster_1
AZURE	E	1h	1	NRK	NRK_dcDNA_1h	LT934125.1	-	86	NRK_1h_1	0	0	0		0	0		dcDNA	NRK_1h_1	viral_read.count	cluster_1
AZURE	E	1h	1	NRK	NRK_dcDNA_1h	LT934125.1	-	117	NRK_1h_2	0	0	0		0	0		dcDNA	NRK_1h_2	viral_read.count	cluster_1
AZURE	E	1h	1	NRK	NRK_dcDNA_1h	LT934125.1	-	88	NRK_1h_3	0	0	0		0	0		dcDNA	NRK_1h_3	viral_read.count	cluster_1
