cluster	0.5h	1.5h	12h	1h	2.5h	2h	4h	6h	8h
	0.0323667711598746	0.0313285184645021	0.0381823380096209	0.0266092427695598	0.0338541020949138	0.0311290241199864	0.0330425364083413	0.0339480101879265	0.035843363806822
cluster_1	0	0.00174520069808028	0.00027155091323939	0	0.000923361034164358	0.000218007412252017	0.000649451713935084	0.000630160708080869	0.000399541115987038
cluster_10	0	0	5.80489025104038e-05	0.00031328320802005	0	0	4.93193963556609e-05	0.000134366146267767	9.98060772902095e-05
cluster_11	0	0.0269860411843154	0.0051596739978503	0.0221445580762782	0.0169168245387945	0.0272047521377713	0.0191365916388863	0.0121747837510446	0.00899467183126933
cluster_12	0	0.00652089486185999	0.00175398918990928	0.00399675413492663	0.00237556438308587	0.00498337102880603	0.0065053381264901	0.00464157624192164	0.00355062969414408
cluster_3	0	0.00174520069808028	7.23584285466404e-05	0	0	0.000453758025229657	0.000113499851919387	8.8478768776824e-05	9.94342065889935e-05
cluster_4	0.0681034482758621	0.0710110659257638	0.005734172369418	0.0750440375073306	0.0449405929077021	0.0694648039279046	0.0232659855890599	0.0148019188683485	0.0135947991437828
cluster_5	0.0844827586206897	0.0124811143863277	0.00752859930376543	0.144345054206715	0.00756517088312424	0.0172710077647396	0.0101540763331554	0.0106143445602395	0.0111556399662808
cluster_6	0	0.0131547475752813	0.0135953005349148	0.0113407332158588	0.0183828661268408	0.0163036282705161	0.0266192197859066	0.0269558932280833	0.0205900327255636
cluster_7	0.0672413793103448	0.0394949599982712	0.0130078206008737	0.0321048477285007	0.0343592330811949	0.0311252878887265	0.0351977801447341	0.0288630975949725	0.020183623859095
cluster_8	0	0.0140033122260844	0.0526916750382343	0.00490042062128889	0.0112740835419254	0.0134575358943854	0.0216300717033611	0.0316136642171985	0.036822887583877
