gene	Kinetic_class	cluster	C6_12h	C6_1h	C6_2h	C6_4h	C6_6h	C6_8h	NRK_12h	NRK_1h	NRK_2h	NRK_4h	NRK_6h	NRK_8h	PC_12_0.5h	PC_12_1.5h	PC_12_12h	PC_12_1h	PC_12_2.5h	PC_12_2h	PC_12_4h	PC_12_6h	PC_12_8h	PK_15_12h	PK_15_1h	PK_15_2h	PK_15_4h	PK_15_6h	PK_15_8h
ORF-1	E	cluster_1	10806.072632	22831.050229	20335.53635	29495.178671	23725.115899	17130.934513	17789.311049	31578.947367	21241.830065	39248.370967	34085.639201	24748.221221	33333.333334	28241.335044	10250.763599	27439.02439	25839.79328	26143.790847	23678.385752	21677.578056	15795.007771	4992.759419	11227.54491	25301.509658	18941.2841	12441.577913	7543.197528
UL54	E	cluster_1	7879.326509	33920.417482	27961.362481	14180.374362	18598.309245	16716.082823	8412.363741	21052.631578	28594.771241	18033.03531	14801.360332	15519.197057	33333.333333	38510.911424	7044.863662	34298.780488	26701.119724	33464.052285	13743.758686	13875.187372	14583.523819	4055.652131	14221.556886	29012.397741	18962.075849	12989.953161	9304.274729
UL53	L		0	0	0	0	0	0	0	0	0	0	38.645849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UL52	E		0	0	0	0	0	0	0	0	0	0	38.645849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UL51	L	cluster_2	1760.430491	2609.262884	5592.272497	3403.289846	4254.158713	3489.634808	1796.856994	0	4901.960784	4394.605245	2125.521719	2440.449592	0	5134.788189	1612.418871	5335.365854	2153.316106	4705.882351	6125.495445	4420.073539	2742.982536	691.637668	3742.51497	1855.444043	6611.776448	3788.317091	2449.543641
UL50	L	cluster_1	4051.668513	18264.840183	19318.759533	11911.514463	11617.125715	9077.931113	7306.933906	31578.947369	32679.738562	22882.254888	11902.921625	9916.474752	0	19255.455711	3719.926088	15243.902439	12489.23342	15686.274507	12045.091882	7712.708032	5485.965075	2300.312781	2994.011976	15855.612719	13722.55489	7083.599555	3991.109804
UL49.5	L	cluster_3	40816.177455	35877.364645	41179.461108	27509.92626	32069.811835	35713.849945	38143.731487	21052.631579	0	38793.756631	36327.098466	33392.912383	33333.333334	24390.243902	45707.746374	23628.048781	36175.710593	0	0	34950.61048	38973.210204	56505.8712	14970.05988	42928.228052	40710.246177	34150.194446	38816.037276
UL49	L	cluster_3	40816.177455	35877.364645	41179.461108	27509.92626	32069.811835	35713.849945	38143.731487	21052.631579	22058.823529	38793.756631	36327.098466	33392.912383	33333.333334	24390.243902	45707.746374	23628.048781	36175.710593	25620.915029	34899.881609	34950.61048	38973.210204	56505.8712	14970.05988	42928.228052	40710.246177	34150.194446	38816.037276
UL48	L	cluster_4	0	0	0	0	0	61.007602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.858188	0	0	84.338366	83.167	0	0
UL46	L	cluster_5	65296.631322	32615.78604	18810.371122	31196.823596	36323.970548	40887.294558	31519.688601	18421.052631	19607.843137	22124.564329	22569.176068	28666.68958	33333.333333	11553.273427	61585.743619	25152.439025	11627.906976	17777.777777	25582.951564	32003.894789	40961.872543	75101.352706	8233.532934	35000.421694	35574.683966	39397.491562	43627.819035
UL27	L	cluster_5	27833.306956	16960.208741	17285.205897	30062.393646	27706.572131	23634.344838	23781.679742	15789.473683	10620.915032	14547.658737	12830.422012	19317.361564	0	7702.182284	29756.703307	15243.902439	15934.539191	20130.718953	18170.587329	18705.238748	30858.553534	33694.17882	2994.011976	15518.259258	11643.379909	17915.268477	30185.262328
UL28	E	cluster_6	14.609382	0	0	0	0	0	0	0	0	0	0	0	0	0	16.232405	0	0	0	0	0	22.858188	9.263004	0	0	0	0	0
UL29	E	cluster_1	11482.973984	24787.997392	18301.982716	11911.514463	11126.261249	15788.76728	8915.995868	26315.789472	23692.810458	12123.04895	7497.294788	12992.81614	16666.666667	23106.546854	8489.547683	37347.560977	25409.130059	28758.169933	14258.506203	11902.169038	14332.083752	3025.914799	17215.568862	48325.883447	21914.504326	12159.84384	12524.60145
UL30	E	cluster_7	440.716347	5218.525766	2033.553635	1134.429949	981.728933	854.106422	635.942262	0	3267.973856	757.690559	541.041892	1065.548413	0	2567.394095	511.32075	6859.756098	1291.989663	3921.568625	617.69702	960.885552	1268.629424	121.962892	1497.005988	4385.595009	748.502995	513.158491	531.316493
UL31	L	cluster_8	27723.736592	8480.104371	18301.982714	36868.97334	37960.185437	31516.526958	40145.455787	10526.315789	14705.882352	23033.793001	20752.821146	28219.846697	0	15404.364568	45261.355242	6859.756098	16795.865632	13856.209148	28774.386164	29582.463199	44059.15699	40165.931288	748.502994	14421.860504	29669.827013	35458.245502	39092.920519
UL32	L	cluster_8	27723.736592	8480.104371	18301.982714	36868.97334	37960.185437	31516.526958	40145.455787	10526.315789	14705.882352	23033.793001	20752.821146	28219.846697	0	15404.364568	45261.355242	6859.756098	16795.865632	13856.209148	28774.386164	29582.463199	44059.15699	40165.931288	748.502994	14421.860504	29669.827013	35458.245502	39092.920519
UL34	E	cluster_5	88235.79542	28049.575995	26436.197255	43959.160522	51213.526044	60763.571142	96530.913621	34210.526315	22058.823529	43339.899986	53949.605811	48516.825353	0	29525.032092	111789.866109	19054.878049	27562.446166	33986.928103	57239.923818	0	82346.621561	108892.793074	14221.556886	0	44411.177645	66519.427073	77000.980316
UL35	L	cluster_5	88235.79542	28049.575995	26436.197255	43959.160522	51213.526044	60763.571142	96530.913621	34210.526315	22058.823529	43339.899986	53949.605811	48516.825353	0	29525.032092	111789.866109	19054.878049	27562.446166	33986.928103	57239.923818	66160.173215	82346.621561	108892.793074	14221.556886	33988.361308	44411.177645	66519.427073	77000.980316
