gene	Kinetic_class	hpi	Time	cell_line	group	seqnames	strand	norm_base	sample	read_count	mean	sd	varcoeff	libtype	sample_name	norm.method	cluster
ORF-1	E	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	+	1	PC_12_0.5h	33333.333334	33333.333334			dcDNA	PC_12_0.5h	WO	cluster_1
ORF-1	E	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	+	1	PC_12_1.5h	28241.335044	28241.335044			dcDNA	PC_12_1.5h	WO	cluster_1
ORF-1	E	12h	12	C6	C6_12h	LT934125.1	+	1	C6_12h	10806.072632	10806.072632			dcDNA	C6_12h	WO	cluster_1
ORF-1	E	12h	12	NRK	NRK_12h	LT934125.1	+	1	NRK_12h	17789.311049	17789.311049			dcDNA	NRK_12h	WO	cluster_1
ORF-1	E	12h	12	PC_12	PC_12_12h	LT934125.1	+	1	PC_12_12h	10250.763599	10250.763599			dcDNA	PC_12_12h	WO	cluster_1
ORF-1	E	12h	12	PK_15	PK_15_12h	LT934125.1	+	1	PK_15_12h	4992.759419	4992.759419			dcDNA	PK_15_12h	WO	cluster_1
ORF-1	E	1h	1	C6	C6_1h	LT934125.1	+	1	C6_1h	22831.050229	22831.050229			dcDNA	C6_1h	WO	cluster_1
ORF-1	E	1h	1	NRK	NRK_1h	LT934125.1	+	1	NRK_1h	31578.947367	31578.947367			dcDNA	NRK_1h	WO	cluster_1
ORF-1	E	1h	1	PC_12	PC_12_1h	LT934125.1	+	1	PC_12_1h	27439.02439	27439.02439			dcDNA	PC_12_1h	WO	cluster_1
ORF-1	E	1h	1	PK_15	PK_15_1h	LT934125.1	+	1	PK_15_1h	11227.54491	11227.54491			dcDNA	PK_15_1h	WO	cluster_1
ORF-1	E	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	+	1	PC_12_2.5h	25839.79328	25839.79328			dcDNA	PC_12_2.5h	WO	cluster_1
ORF-1	E	2h	2	C6	C6_2h	LT934125.1	+	1	C6_2h	20335.53635	20335.53635			dcDNA	C6_2h	WO	cluster_1
ORF-1	E	2h	2	NRK	NRK_2h	LT934125.1	+	1	NRK_2h	21241.830065	21241.830065			dcDNA	NRK_2h	WO	cluster_1
ORF-1	E	2h	2	PC_12	PC_12_2h	LT934125.1	+	1	PC_12_2h	26143.790847	26143.790847			dcDNA	PC_12_2h	WO	cluster_1
ORF-1	E	2h	2	PK_15	PK_15_2h	LT934125.1	+	1	PK_15_2h	25301.509658	25301.509658			dcDNA	PK_15_2h	WO	cluster_1
