cluster	0.5h	1.5h	12h	1h	2.5h	2h	4h	6h	8h
	0	0	0	0	0	0	259.973529958333	9.37577245833333	0
cluster_1	16666.6666666667	38938.8104395556	12600.9559770278	29169.9500193611	32921.8106988889	35773.2333644722	24826.3272139722	15939.0233477778	19239.68788125
cluster_10	0	0	0	0	0	21.0845915	0	0	0
cluster_11	3333.3333334	13607.188702	12009.5548579	13585.9686835	17829.4573638	18779.6009634	21970.2293279	10675.3716525	15926.27176845
cluster_12	0	0	14.60938175	0	861.326443	0	38.60606375	17.40834825	45.8858715
cluster_2	0	1026.9576378	2011.2364979	998.07053245	2670.1119724	1903.7625202	3398.93964595	3117.4026823	2637.5801718
cluster_3	41666.6666668333	28455.2845516667	51402.3735365	27878.0384935	35601.4929646667	36807.76205	38420.8476590417	40572.8010050417	41647.571215625
cluster_4	0	0	0	0	0	21.0845915	20.79175	0	20.9664475
cluster_5	14102.5641027692	16095.5860563846	41037.9278671923	9937.28820203846	24017.7565752308	14060.4659509423	21059.6610845192	24763.182816	28603.46027125
cluster_6	0	0	10.02619775	0	0	0	0	0	5.714547
cluster_7	55555.555556	42362.0025666667	7018.79996775	47989.6321315833	27706.000574	38168.64716575	14255.2229703333	10877.7238294167	10659.3120824167
cluster_8	20512.8205129231	18860.4720045385	21464.94705725	14382.2118642115	19744.2523018462	18152.4188540192	21086.3910645577	20172.7621048654	23040.5572730962
cluster_9	33333.333334	2995.29311066667	2079.25908125	32527.2441954167	4306.632213	5006.08026875	2635.901651	2760.17453025	2991.1712665
