gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff
ORF-1	E	12h	12	C6	C6_12h	1951.199044		
ORF-1	E	1h	1	C6	C6_1h	0		
ORF-1	E	2h	2	C6	C6_2h	0		
ORF-1	E	4h	4	C6	C6_4h	4203.888598		
ORF-1	E	6h	6	C6	C6_6h	3363.518758		
ORF-1	E	8h	8	C6	C6_8h	1807.909604		
ORF-1	E	1h	1	NRK	NRK_1h	0		
ORF-1	E	2h	2	NRK	NRK_2h	0		
ORF-1	E	0.5h	0.5	PC_12	PC_12_0.5h	0		
ORF-1	E	1.5h	1.5	PC_12	PC_12_1.5h	0		
ORF-1	E	12h	12	PC_12	PC_12_12h	2504.999761		
ORF-1	E	1h	1	PC_12	PC_12_1h	0		
ORF-1	E	2.5h	2.5	PC_12	PC_12_2.5h	2220.57735		
ORF-1	E	2h	2	PC_12	PC_12_2h	1334.222815		
ORF-1	E	4h	4	PC_12	PC_12_4h	3914.876532		
ORF-1	E	6h	6	PC_12	PC_12_6h	3997.65471		
ORF-1	E	8h	8	PC_12	PC_12_8h	3770.931868		
ORF-1	E	12h	12	PK_15	PK_15_12h	1478.260869		
ORF-1	E	1h	1	PK_15	PK_15_1h	0		
ORF-1	E	2h	2	PK_15	PK_15_2h	1086.169443		
ORF-1	E	4h	4	PK_15	PK_15_4h	893.074612		
ORF-1	E	6h	6	PK_15	PK_15_6h	1088.718457		
ORF-1	E	8h	8	PK_15	PK_15_8h	1464.918706		
UL54	E	12h	12	C6	C6_12h	720.335131		
UL54	E	1h	1	C6	C6_1h	12326.656394		
UL54	E	2h	2	C6	C6_2h	2478.314746		
UL54	E	4h	4	C6	C6_4h	3152.916448		
UL54	E	6h	6	C6	C6_6h	3880.983183		
UL54	E	8h	8	C6	C6_8h	1581.920903		
UL54	E	1h	1	NRK	NRK_1h	0		
UL54	E	2h	2	NRK	NRK_2h	6472.491909		
UL54	E	0.5h	0.5	PC_12	PC_12_0.5h	0		
UL54	E	1.5h	1.5	PC_12	PC_12_1.5h	22123.893806		
UL54	E	12h	12	PC_12	PC_12_12h	327.629396		
UL54	E	1h	1	PC_12	PC_12_1h	8908.685968		
UL54	E	2.5h	2.5	PC_12	PC_12_2.5h	9622.50185		
UL54	E	2h	2	PC_12	PC_12_2h	8005.336894		
UL54	E	4h	4	PC_12	PC_12_4h	1606.103194		
UL54	E	6h	6	PC_12	PC_12_6h	1332.551569		
UL54	E	8h	8	PC_12	PC_12_8h	1086.539691		
UL54	E	12h	12	PK_15	PK_15_12h	102.974828		
UL54	E	1h	1	PK_15	PK_15_1h	0		
UL54	E	2h	2	PK_15	PK_15_2h	8327.299059		
UL54	E	4h	4	PK_15	PK_15_4h	1989.120728		
UL54	E	6h	6	PK_15	PK_15_6h	983.878902		
UL54	E	8h	8	PK_15	PK_15_8h	662.283606		
UL53	L	12h	12	C6	C6_12h	251.767619		
UL53	L	1h	1	C6	C6_1h	0		
UL53	L	2h	2	C6	C6_2h	0		
UL53	L	4h	4	C6	C6_4h	0		
UL53	L	6h	6	C6	C6_6h	603.708496		
UL53	L	8h	8	C6	C6_8h	96.8523		
UL53	L	1h	1	NRK	NRK_1h	0		
UL53	L	2h	2	NRK	NRK_2h	0		
UL53	L	0.5h	0.5	PC_12	PC_12_0.5h	0		
UL53	L	1.5h	1.5	PC_12	PC_12_1.5h	0		
UL53	L	12h	12	PC_12	PC_12_12h	81.907349		
UL53	L	1h	1	PC_12	PC_12_1h	0		
