gene	Kinetic_class	cluster	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_1h	NRK_dcDNA_2h	PC-12_dcDNA_0.5h	PC-12_dcDNA_1.5h	PC-12_dcDNA_12h	PC-12_dcDNA_1h	PC-12_dcDNA_2.5h	PC-12_dcDNA_2h	PC-12_dcDNA_4h	PC-12_dcDNA_6h	PC-12_dcDNA_8h	PK-15_dcDNA_12h	PK-15_dcDNA_1h	PK-15_dcDNA_2h	PK-15_dcDNA_4h	PK-15_dcDNA_6h	PK-15_dcDNA_8h
ORF-1	E	cluster_1	0.00269794491105189	0	0	0.00494925219161606	0.00446727593187331	0.00240670556628871	0	0	0	0	0.00307657080566287	0	0.00389366272824919	0.00181653042688465	0.00580645402935628	0.00557704086141948	0.00504415163600144	0.00178876973365702	0	0.000831946755407654	0.00121309314199189	0.00141094288493814	0.00193448012485305
UL54	E	cluster_2	0.00110984793148472	0.0202525252525253	0.00403825559257496	0.00435374747595861	0.00555538567191099	0.00199307255670802	0	0.0121427036320653	0	0.0369148195311322	0.000460299974734369	0.0136928586475669	0.0170790988460161	0.0123385884609133	0.00228107885370176	0.00198986038089215	0.00149500666314205	0.000133908763726141	0	0.0156069057523623	0.00266476440350547	0.0013554754647591	0.000856733846831356
UL53	L	cluster_1	0.000403259130027766	0	0	0.00129198966408269	0.000938607760812023	0.000120481927710843	0	0	0	0	0.000136293380992774	0	0	0	0.00013745704467354	0.000300362393063179	0.000350949768667673	0.000212658858913288	0	0.000277315585135885	0.00037574362047898	0.000476787408685569	0.000456074024795097
UL52	E	cluster_3	0.000148301355162921	0	0.00261780104712042	0	0.000115580212667591	3.87551835057939e-05	0	0	0	0	3.47952491281656e-05	0	0	0	0	8.8667224745647e-05	0.000214138385960632	1.07717305684012e-05	0.00694444444444444	0.00116550116550117	0.000187336080929187	6.69049397090353e-05	6.58094403319435e-05
UL51	L	cluster_4	0.00345303745788545	0.00579257487152224	0.00545871013802951	0.00624124185569874	0.00438262266195604	0.00502861575854636	0	0.00387596899224806	0	0.00647249190938511	0.00224251923694752	0.0066006600660066	0.00170068027210884	0.00652833993221814	0.00686836885387871	0.0047728931025858	0.00368795082503708	0.000803962305947904	0.00694444444444444	0.00512640348397957	0.014139608615492	0.00574016275924861	0.00343474253601249
UL50	L	cluster_4	0.00302801985579214	0.0204186602870813	0.021834840552118	0.00881038598015395	0.00917412964892683	0.00661446005329362	0.0532967032967033	0.0332118813068838	0	0.0330052635845194	0.00136646307805821	0.0190692027335884	0.0230532833916293	0.0167668906591157	0.0114880602541315	0.00559647207107764	0.00238626167002901	0.000855900661954998	0.00813008130081301	0.0158842213374981	0.00840275282971394	0.00369826024824441	0.00274578045610666
UL49.5	L	cluster_4	0.0173976787757769	0.0357363104731526	0.0291602213231794	0.0131502536501369	0.0184270490837444	0.0189453486355717	0.0294871794871795	0.0279539581865163	0	0.0426603981288519	0.014045954888424	0.0407059580357487	0.045614264599227	0.0432622095541066	0.0184560153387006	0.020150769400269	0.0178087062904138	0.0147565074415478	0.0248784473138849	0.0535926474899155	0.0337456286716499	0.0148705018826769	0.014229673678662
UL49	L	cluster_1	0.00837096887645086	0.00378787878787879	0.00807651118514993	0.00634317748620101	0.00509561869705915	0.00583220030982731	0	0.0148441365660564	0	0	0.00696819467148228	0	0.0139795459344332	0.00804328422645398	0.00487477023591075	0.00560431598194084	0.00793254693490086	0.00845980672994759	0	0.00534748024415782	0.00832234228211403	0.00634618140164308	0.00816984464541075
UL48	L	cluster_5	2.32346999676796e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07717305684012e-05	0	0	0	8.90765434738071e-06	0
UL47	L	cluster_6	0.00112069936499495	0	0	0	0	0.000235342019163738	0	0	0	0	0.000747717572069402	0	0	0	0	0.000475616511534963	0.000344009476058788	0.000838176909765337	0	0	6.2445360309729e-05	0.000503629639801634	0.000714259265897786
UL46	L	cluster_4	0.0283676160048878	0.0263219918483076	0.00710227272727273	0.0235988017401614	0.0283968537648958	0.0159078102303489	0.0423076923076923	0.00387596899224806	0	0.0113116078642607	0.00691187945036506	0.00709219858156028	0.00389366272824919	0.0118468285183451	0.0195579349328409	0.0185875662843367	0.00745172607613503	0.00814443484340517	0	0.0181878486854065	0.0122331877583694	0.0107549788624715	0.0107867768354438
UL27	L	cluster_6	0.00883537476408736	0.018580099237994	0.00545871013802951	0.0186495495485454	0.0172155463571057	0.00544882534035148	0.0238095238095238	0.0178529480855062	0	0.00709219858156028	0.00861848995768327	0.00892244337680165	0.00304332259219477	0.00853504416902211	0.0103779717059912	0.00904762995169686	0.0105279742673933	0.0110521443782305	0	0.00964193697272974	0.00389621702844668	0.00417464036443022	0.0117880379937362
UL28	E	cluster_7	0.000102906797157842	0	0	0.00129198966408269	0.000214199542056151	0	0	0	0	0	4.83034319725746e-05	0	0	0	0	2.92090197452974e-05	0.000175474884333837	1.07717305684012e-05	0	0.0010752688172043	5.01705799719045e-05	2.67229630421421e-05	4.38999352089568e-05
